nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N6;Município;2300101;Abaiara - CE;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);254
N6;Município;2300101;Abaiara - CE;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);2970
N6;Município;2300101;Abaiara - CE;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);2181
N6;Município;2300101;Abaiara - CE;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);611
N6;Município;2300101;Abaiara - CE;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);3066
N6;Município;2300101;Abaiara - CE;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);4804
N6;Município;2300101;Abaiara - CE;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);5311
N6;Município;2300101;Abaiara - CE;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);2361
N6;Município;2300101;Abaiara - CE;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);2040
N6;Município;2300150;Acarape - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);337
N6;Município;2300150;Acarape - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);265
N6;Município;2300150;Acarape - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);285
N6;Município;2300150;Acarape - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);242
N6;Município;2300150;Acarape - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);199
N6;Município;2300150;Acarape - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);321
N6;Município;2300150;Acarape - CE;2009;2009;215;Valor da produção;Mil Reais;40122;Milho (em grão);189
N6;Município;2300150;Acarape - CE;2010;2010;215;Valor da produção;Mil Reais;40122;Milho (em grão);71
N6;Município;2300150;Acarape - CE;2011;2011;215;Valor da produção;Mil Reais;40122;Milho (em grão);325
N6;Município;2300150;Acarape - CE;2012;2012;215;Valor da produção;Mil Reais;40122;Milho (em grão);78
N6;Município;2300150;Acarape - CE;2013;2013;215;Valor da produção;Mil Reais;40122;Milho (em grão);122
N6;Município;2300150;Acarape - CE;2014;2014;215;Valor da produção;Mil Reais;40122;Milho (em grão);306
N6;Município;2300150;Acarape - CE;2015;2015;215;Valor da produção;Mil Reais;40122;Milho (em grão);225
N6;Município;2300150;Acarape - CE;2016;2016;215;Valor da produção;Mil Reais;40122;Milho (em grão);137
N6;Município;2300150;Acarape - CE;2017;2017;215;Valor da produção;Mil Reais;40122;Milho (em grão);213
N6;Município;2300150;Acarape - CE;2018;2018;215;Valor da produção;Mil Reais;40122;Milho (em grão);248
N6;Município;2300150;Acarape - CE;2019;2019;215;Valor da produção;Mil Reais;40122;Milho (em grão);313
N6;Município;2300150;Acarape - CE;2020;2020;215;Valor da produção;Mil Reais;40122;Milho (em grão);413
N6;Município;2300150;Acarape - CE;2021;2021;215;Valor da produção;Mil Reais;40122;Milho (em grão);865
N6;Município;2300150;Acarape - CE;2022;2022;215;Valor da produção;Mil Reais;40122;Milho (em grão);679
N6;Município;2300150;Acarape - CE;2023;2023;215;Valor da produção;Mil Reais;40122;Milho (em grão);296
N6;Município;2300150;Acarape - CE;2024;2024;215;Valor da produção;Mil Reais;40122;Milho (em grão);260
N6;Município;2300200;Acaraú - CE;2003;2003;215;Valor da produção;Mil Reais;40122;Milho (em grão);320
N6;Município;2300200;Acaraú - CE;2004;2004;215;Valor da produção;Mil Reais;40122;Milho (em grão);215
N6;Município;2300200;Acaraú - CE;2005;2005;215;Valor da produção;Mil Reais;40122;Milho (em grão);207
N6;Município;2300200;Acaraú - CE;2006;2006;215;Valor da produção;Mil Reais;40122;Milho (em grão);413
N6;Município;2300200;Acaraú - CE;2007;2007;215;Valor da produção;Mil Reais;40122;Milho (em grão);173
N6;Município;2300200;Acaraú - CE;2008;2008;215;Valor da produção;Mil Reais;40122;Milho (em grão);634
