nivel_territorial_codigo;nivel_territorial_nome;territorio_codigo;territorio_nome;ano_codigo;ano_nome;variavel_codigo;variavel_nome;unidade;produto_codigo;produto_nome;valor
N6;Município;2300101;Abaiara - CE;2009;2009;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1656
N6;Município;2300101;Abaiara - CE;2010;2010;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);493
N6;Município;2300101;Abaiara - CE;2011;2011;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2204
N6;Município;2300101;Abaiara - CE;2012;2012;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);700
N6;Município;2300101;Abaiara - CE;2013;2013;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1122
N6;Município;2300101;Abaiara - CE;2014;2014;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2204
N6;Município;2300101;Abaiara - CE;2015;2015;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);924
N6;Município;2300101;Abaiara - CE;2016;2016;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);480
N6;Município;2300101;Abaiara - CE;2017;2017;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);3600
N6;Município;2300101;Abaiara - CE;2018;2018;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2160
N6;Município;2300101;Abaiara - CE;2019;2019;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);640
N6;Município;2300101;Abaiara - CE;2020;2020;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2457
N6;Município;2300101;Abaiara - CE;2021;2021;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2183
N6;Município;2300101;Abaiara - CE;2022;2022;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);2300
N6;Município;2300101;Abaiara - CE;2023;2023;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);800
N6;Município;2300101;Abaiara - CE;2024;2024;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);750
N6;Município;2300150;Acarape - CE;2003;2003;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1112
N6;Município;2300150;Acarape - CE;2004;2004;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1128
N6;Município;2300150;Acarape - CE;2005;2005;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1150
N6;Município;2300150;Acarape - CE;2006;2006;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1227
N6;Município;2300150;Acarape - CE;2007;2007;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);927
N6;Município;2300150;Acarape - CE;2008;2008;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);1200
N6;Município;2300150;Acarape - CE;2009;2009;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);782
N6;Município;2300150;Acarape - CE;2010;2010;112;Rendimento médio da produção;Quilogramas por Hectare;40122;Milho (em grão);309
